Year,AnnualMaxLoss
497,8077989.702522
498,2139223.787442
499,13890635.056321
500,4388173.242611
501,965816.952801
502,197458.265405
503,105938.599276
504,4642763.242981
505,4187920.635220
506,556166.622412
507,19898005.017102
508,375724.878347
509,4972106.799750
510,119034210.701343
511,201531056.517607
512,356322.649710
513,255663410.280004
514,26064680.527325
515,17056769.028669
516,66409381.416057
517,19985558.178977
518,920434.030847
519,688152420.535425
520,420769.817742
521,298786.998107
522,12704963.764282
523,80186257.851080
524,2521341.345963
525,114153866.492617
526,13442372.627234
527,36915.703633
528,1128.410056
529,718270.184263
530,20453081.209549
531,1399644.254622
532,1229092.161819
533,11274737.841323
534,1937242.625991
535,844509736.071465
536,47690768.765928
537,4064711.364918
538,72580311.818071
539,71080093.257463
540,380344.951383
541,4406.847995
542,3352882.580240
543,368557.502888
544,3676.641801
545,90535225.459304
546,7099105.476133
547,10873781.358004
548,181466360.869948
549,829462.267313
550,7933130.919223
551,6033062.218069
552,82575220.782132
553,61620290.892225
554,139548.732581
555,306634960.346414
556,38760032.464365
557,23769800.858561
558,5128183.155988
559,2765340.337789
560,5005431.552965
561,172370839.428201
562,35357297.042257
563,349743.968644
564,1980628.590481
565,1832028.086844
566,1584441.277410
567,777957.810017
568,245876251.779578
569,13268905.762313
570,3715690.225051
571,16492363.410552
572,346101.133310
573,5442919.317330
574,740459.796398
575,316110.414298
576,4609577.559600
577,133339.084679
578,2753384.052763
579,322906.810785
580,16221269.555066
581,4792793.373648
582,3908176.250803
583,134485018.347928
584,10387556.297200
585,114478.324018
586,2071958.926921
587,63631558.498542
588,16441301.316981
589,55820481.258217
590,475796224.426562
591,91946.134779
592,7101196.380217
593,21014599.359493
594,2560052.556713
595,1070144274.498894
596,26617331.356504
597,1250956.950181
598,2031832.370516
599,9898.295904
600,2220464.476323
601,5661937.834684
602,787787.493877
603,149386.391777
604,1094822.752608
605,30319.172369
606,657457.193002
607,261524.161693
608,121364843.719382
609,999292.583256
610,7558292.532480
611,3413629.461316
612,1771186.269681
613,22086.453715
614,7630.360064
615,24511803.169556
616,988756.234610
617,867167.772722
618,15495870.897797
619,109075842.167276
620,328329407.794963
621,685664.023916
622,5148202.078069
623,6895.848794
624,6239863.134454
625,13441.432324
626,9402841.073610
627,590060.506170
628,170863427.451833
629,3363571.673453
